Mean,Std Dev,Q1,Q2,Q3
0.8128031050302258,0.040604566637244204,0.7815219633400082,0.8113555494388175,0.8422322747048137
0.8368594848887096,0.040030649739447435,0.8056824533334921,0.8351360564027622,0.8670315070352027
0.8580618392481842,0.03874461283897919,0.827733017853532,0.857405782857582,0.889199715929748
0.8766137189874432,0.036772449230584425,0.8477828003852133,0.8765052663467681,0.9079030681642279
0.892529523527624,0.034330534302360986,0.8654121446279219,0.8947038838073802,0.9166666666666667
0.9065559245646032,0.032438466062181384,0.8793470848038132,0.912677044615516,0.9347826086956521
0.9187207944919935,0.030592866908620894,0.8954396174749685,0.9180098908579049,0.9379367818214377
0.9296346855689404,0.02928498445303616,0.9086413199512444,0.935483870967742,0.9565217391304348
0.939011638234021,0.027708079503005828,0.9166666666666667,0.9375,0.9574468085106382
0.9469604210063696,0.02577374533353228,0.9306782120911506,0.9565217391304348,0.9626370039550401
0.9535818346031154,0.02356711245692672,0.9373887877371105,0.9574468085106382,0.9782608695652173
0.9588408326399013,0.021273542656540693,0.9438009035655621,0.9578947368421054,0.978494623655914
0.9630375030479066,0.019422427373677664,0.956989247311828,0.9583333333333333,0.978494623655914
0.9661645102343058,0.018171954865403035,0.9574468085106382,0.9651237907035275,0.9787234042553192
0.968439427757183,0.01751331972390043,0.9578947368421054,0.9782608695652173,0.9787234042553192
0.9701722933459481,0.017100239666897672,0.9578947368421054,0.9782608695652173,0.9789473684210526
0.9712754921144914,0.016829344455738103,0.9583333333333333,0.978494623655914,0.9789473684210526
0.9720680560077245,0.016803693200230795,0.9583333333333333,0.978494623655914,0.9789473684210526
0.9727030139025085,0.01686001141184896,0.9583333333333333,0.978494623655914,0.9791666666666667
0.9732093346260998,0.01690189908717027,0.9583333333333333,0.978494623655914,0.9791666666666667
0.9736291738506241,0.016855730859057644,0.9583333333333333,0.978494623655914,0.9791666666666667
0.9739090111954735,0.016939305583654755,0.9583333333333333,0.978494623655914,0.9791666666666667
0.9741384878368557,0.01693912513551784,0.9583333333333333,0.978494623655914,0.9791666666666667
0.9743427183021176,0.01691692893602759,0.9583333333333333,0.978494623655914,0.9791666666666667
0.9745054388466378,0.016887674446204738,0.9583333333333333,0.978494623655914,0.9791666666666667
0.974509169385959,0.016898007060458815,0.9583333333333333,0.978494623655914,0.9791666666666667
0.9744757151028619,0.016820405114064872,0.9583333333333333,0.978494623655914,0.9791666666666667
0.9743826675360869,0.016781192516139406,0.9583333333333333,0.978494623655914,0.9791666666666667
0.9741510087679516,0.016734182987531876,0.9583333333333333,0.978494623655914,0.9791666666666667
0.9737075594247688,0.016655139988512303,0.9583333333333333,0.978494623655914,0.9791666666666667
0.972969634604315,0.016803930628082518,0.9583333333333333,0.978494623655914,0.9791666666666667
0.971824350058684,0.017049950282737255,0.9583333333333333,0.978494623655914,0.9789473684210526
0.97007315509736,0.0175144787794324,0.9578947368421054,0.9782608695652173,0.9789473684210526
0.967484256573739,0.01852758617643877,0.9574468085106382,0.9770132712348234,0.9787234042553192
0.9638941039234941,0.020098016011924888,0.956989247311828,0.9587628865979381,0.978494623655914
0.9590136315984007,0.022159772780274232,0.9444292294546023,0.9578947368421054,0.978494623655914
0.9530971852326015,0.024379624212812635,0.9368421052631579,0.956989247311828,0.9782608695652173
0.9453519310118654,0.02635555413235365,0.9290378429292708,0.9489608134767565,0.9605351370920584
0.9359007747706979,0.02766957821811,0.9166666666666667,0.9368421052631579,0.956989247311828
0.9250198021759922,0.028922631890841027,0.9061135232616802,0.9286559076947354,0.9467208530737481
0.9131320934888928,0.030422350336165107,0.894736842105263,0.9150923252911294,0.935483870967742
0.9000267242107363,0.03227645049197061,0.8762886597938144,0.9026474523575676,0.9247115719945017
0.884767132783848,0.03418930093298098,0.8605859504371699,0.8874663462068252,0.9129738964357458
0.8666912731344402,0.035573026777327925,0.8424559358897212,0.8684081135369832,0.892573686491066
0.8459146272478593,0.03657983972683435,0.8214149760361947,0.8471344712217834,0.8711263433509786
0.8222346022110977,0.037366984945103536,0.7982202915567316,0.8231048986430707,0.8466285357116355
0.795327250696577,0.03831104287564399,0.7711299997686782,0.7961744393586987,0.8197570328194185
0.7649614981250892,0.03936123643317047,0.7400442834023712,0.7657804485019807,0.7894650041959566
0.7313114340879472,0.040224409431856324,0.7051043666342786,0.7322741177370073,0.7558959252469175
0.6949603804960827,0.040555542990674646,0.6681630965207093,0.6958203971263954,0.7195901291765364
0.6565064783148283,0.04040568848775402,0.6289854714912344,0.6572651354526153,0.6811686749783742
0.616425308853147,0.040157334022636326,0.5886712134853613,0.617860283543351,0.6412982717868594
0.5753618306300451,0.039921969746062595,0.5468915109837013,0.5775084657255177,0.6002339574272462
0.534033127931691,0.0399951561118758,0.505881615596581,0.5367818313988423,0.5593308184462729
0.49271414281798837,0.040500510961932745,0.4645041246058743,0.49567652279677377,0.5193043501172481
0.4514522142815935,0.040668191115070564,0.42361959122636983,0.4546772832077945,0.47859709565511166
0.4104934208798007,0.03993437892103603,0.38394769512346666,0.4130974928227761,0.4371780931270074
0.3697684702669843,0.03886618801807155,0.34376665969967357,0.3726060910588934,0.39600009353563026
0.3290657079204407,0.03802986679798557,0.3030803241936808,0.332383998888795,0.3549725923856701
0.2883062968717039,0.03748215386050383,0.2628850947292881,0.2916377079130844,0.3138959307783772
0.24722931051772137,0.037236435122576184,0.222210997932653,0.2504421512967074,0.27276100157686056
0.2057140415438193,0.03725755922772668,0.18087736414860492,0.20953905552781504,0.23140025480850177
0.16401515912713022,0.03715746925667495,0.13970363171138028,0.16722742948477293,0.1900630894885778
0.12256945971716758,0.03681799186114303,0.09880973715346933,0.12556936520174886,0.1483684612693516
0.08170932332874446,0.03623282551153343,0.05872435690368267,0.08528893974026382,0.10744136566268532
0.04160964689179441,0.03533149736579854,0.01821957334490442,0.04571476806153852,0.06725651088256365
0.0017344310591419583,0.03381004877496604,-0.02139516538400667,0.005366684129406734,0.026741916751664
-0.038359904070251694,0.03215477569459687,-0.06082595917951228,-0.03641905648165267,-0.014288496310877922
-0.0784730309787557,0.030838433087869422,-0.10056455829862468,-0.07686366634017283,-0.055205150784682536
-0.11850966805774786,0.029805720317597453,-0.1400494450473313,-0.11669221453945668,-0.09641715811480618
-0.1586588633238301,0.029203901527739808,-0.1796349165599793,-0.1568332763632891,-0.13694766460061544
-0.19899070994764329,0.02884946389297706,-0.21909723433834927,-0.19678919255367344,-0.1780925761464736
-0.2393493125583183,0.028553994491323207,-0.25848608325024036,-0.23733278977473216,-0.21860689220361326
-0.27969444332072657,0.0283984956550413,-0.2982386596405254,-0.27793326948411856,-0.2593489813870328
-0.3202113119241636,0.028398223014176216,-0.3389028044565158,-0.31846775213972495,-0.3000705322228901
-0.361123580816165,0.0285380659923629,-0.38008605298946296,-0.3595367700261016,-0.3406491332543972
-0.4020941850119809,0.028845402029049033,-0.4211625667388786,-0.40068511541716273,-0.3818987903867381
-0.4424958313269806,0.02900017130853475,-0.46159472956573955,-0.44074767326727293,-0.422492384122826
-0.4822360959187164,0.028604564701675807,-0.501503685367773,-0.48077524118407367,-0.4623597561202973
-0.5218922056826798,0.027966321869254653,-0.5410477853907639,-0.5208665277632873,-0.5025608787213895
-0.5618045217181317,0.027507660520554127,-0.5803953045386316,-0.561047284861164,-0.5428866132603566
-0.6018278864155926,0.027126421283098282,-0.6199877550474994,-0.6009773279416384,-0.5835312171170557
-0.6415756441224238,0.02663199233914567,-0.6595345469828473,-0.640199590074011,-0.6235630931148493
-0.6806281239378004,0.026039294617503934,-0.6986952835646547,-0.6791028524708829,-0.6627903080629926
-0.7184471883932247,0.02545528103702455,-0.7366187203087924,-0.7172704942435784,-0.7006418426853861
-0.7544604377432313,0.024975405420752456,-0.772356332369452,-0.7536952626744049,-0.7367602034210978
-0.7881510915713819,0.024331218448703784,-0.8057906872180992,-0.78757258819604,-0.7710556843943303
-0.8188619001606755,0.023304897679904173,-0.8358233918054416,-0.8188355924474664,-0.8023332050835524
-0.8457850192113734,0.021963535821133032,-0.8618178033223743,-0.8464180008952056,-0.8301025314596578
-0.8686792087006819,0.020501148177289784,-0.8839225745998561,-0.8697462764169224,-0.8541439430230943
-0.887765001440648,0.019124682795388925,-0.9009766841685085,-0.8901098901098901,-0.8736842105263158
-0.9039840042667026,0.018007607450150658,-0.9164890073595754,-0.9056937591889995,-0.8924731182795699
